seed,clusters,bits_per_cover,stable_images,stable_fraction,minimum_bucket,median_bucket,maximum_bucket,feasible
11,64,6,605,0.075625,0,5.0,74,False
11,32,5,1473,0.184125,4,35.0,167,False
11,16,4,2823,0.352875,92,164.0,280,True
11,8,3,4532,0.5665,417,564.0,735,True
29,64,6,347,0.043375,0,2.5,40,False
29,32,5,1068,0.1335,0,25.0,107,False
29,16,4,2430,0.30375,61,153.5,243,True
29,8,3,4222,0.52775,395,518.0,676,True
47,64,6,162,0.02025,0,0.0,28,False
47,32,5,659,0.082375,0,10.5,99,False
47,16,4,1854,0.23175,5,96.0,279,False
47,8,3,3898,0.48725,177,510.0,749,True
71,64,6,592,0.074,0,4.0,48,False
71,32,5,1393,0.174125,7,38.0,125,False
71,16,4,2687,0.335875,80,154.5,317,True
71,8,3,4361,0.545125,352,569.5,743,True
101,64,6,619,0.077375,0,3.0,77,False
101,32,5,1508,0.1885,14,25.0,193,False
101,16,4,2846,0.35575,99,146.0,373,True
101,8,3,4493,0.561625,437,573.0,686,True
