seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
11,0,clean,348,1.0,1,0
11,0,jpeg_80,348,1.0,1,0
11,0,jpeg_50,348,1.0,1,0
11,0,gaussian_5,348,1.0,1,0
11,0,gaussian_12,348,1.0,1,0
11,0,gaussian_9_holdout,348,1.0,1,0
11,0,gaussian_15_holdout,348,1.0,1,0
11,0,blur_0.8,348,1.0,1,0
11,0,blur_1.5,348,1.0,1,0
11,0,blur_1.2_holdout,348,1.0,1,0
11,0,blur_1.8_holdout,348,0.985632183908046,1,5
11,0,resize_075,348,1.0,1,0
11,0,resize_050,348,1.0,1,0
11,0,crop_05,348,1.0,1,0
11,0,crop_10,348,1.0,1,0
11,0,crop_08_holdout,348,1.0,1,0
11,0,crop_12_holdout,348,0.8362068965517241,1,52
11,0,rotate_3,348,1.0,1,0
11,0,rotate_7,348,1.0,1,0
11,0,rotate_5_holdout,348,1.0,1,0
11,0,rotate_9_holdout,348,0.9310344827586208,1,23
11,1,clean,348,1.0,1,0
11,1,jpeg_80,348,1.0,1,0
11,1,jpeg_50,348,1.0,1,0
11,1,gaussian_5,348,1.0,1,0
11,1,gaussian_12,348,0.9971264367816092,1,1
11,1,gaussian_9_holdout,348,1.0,1,0
11,1,gaussian_15_holdout,348,0.9942528735632185,1,2
11,1,blur_0.8,348,1.0,1,0
11,1,blur_1.5,348,1.0,1,0
11,1,blur_1.2_holdout,348,1.0,1,0
11,1,blur_1.8_holdout,348,0.9885057471264368,1,4
11,1,resize_075,348,1.0,1,0
11,1,resize_050,348,1.0,1,0
11,1,crop_05,348,1.0,1,0
11,1,crop_10,348,1.0,1,0
11,1,crop_08_holdout,348,0.9971264367816092,1,1
11,1,crop_12_holdout,348,0.8448275862068966,1,52
11,1,rotate_3,348,1.0,1,0
11,1,rotate_7,348,1.0,1,0
11,1,rotate_5_holdout,348,1.0,1,0
11,1,rotate_9_holdout,348,0.942528735632184,1,18
11,2,clean,348,1.0,1,0
11,2,jpeg_80,348,1.0,1,0
11,2,jpeg_50,348,1.0,1,0
11,2,gaussian_5,348,1.0,1,0
11,2,gaussian_12,348,1.0,1,0
11,2,gaussian_9_holdout,348,1.0,1,0
11,2,gaussian_15_holdout,348,1.0,1,0
11,2,blur_0.8,348,1.0,1,0
11,2,blur_1.5,348,1.0,1,0
11,2,blur_1.2_holdout,348,1.0,1,0
11,2,blur_1.8_holdout,348,0.9913793103448276,1,3
11,2,resize_075,348,1.0,1,0
11,2,resize_050,348,1.0,1,0
11,2,crop_05,348,1.0,1,0
11,2,crop_10,348,1.0,1,0
11,2,crop_08_holdout,348,1.0,1,0
11,2,crop_12_holdout,348,0.8419540229885057,1,51
11,2,rotate_3,348,1.0,1,0
11,2,rotate_7,348,1.0,1,0
11,2,rotate_5_holdout,348,1.0,1,0
11,2,rotate_9_holdout,348,0.9310344827586208,1,23
11,3,clean,348,1.0,1,0
11,3,jpeg_80,348,1.0,1,0
11,3,jpeg_50,348,1.0,1,0
11,3,gaussian_5,348,1.0,1,0
11,3,gaussian_12,348,1.0,1,0
11,3,gaussian_9_holdout,348,1.0,1,0
11,3,gaussian_15_holdout,348,1.0,1,0
11,3,blur_0.8,348,1.0,1,0
11,3,blur_1.5,348,1.0,1,0
11,3,blur_1.2_holdout,348,1.0,1,0
11,3,blur_1.8_holdout,348,0.9885057471264368,1,4
11,3,resize_075,348,1.0,1,0
11,3,resize_050,348,1.0,1,0
11,3,crop_05,348,1.0,1,0
11,3,crop_10,348,1.0,1,0
11,3,crop_08_holdout,348,1.0,1,0
11,3,crop_12_holdout,348,0.8477011494252874,1,50
11,3,rotate_3,348,1.0,1,0
11,3,rotate_7,348,1.0,1,0
11,3,rotate_5_holdout,348,1.0,1,0
11,3,rotate_9_holdout,348,0.9396551724137931,1,21
11,4,clean,348,1.0,1,0
11,4,jpeg_80,348,1.0,1,0
11,4,jpeg_50,348,1.0,1,0
11,4,gaussian_5,348,1.0,1,0
11,4,gaussian_12,348,1.0,1,0
11,4,gaussian_9_holdout,348,1.0,1,0
11,4,gaussian_15_holdout,348,0.9971264367816092,1,1
11,4,blur_0.8,348,1.0,1,0
11,4,blur_1.5,348,1.0,1,0
11,4,blur_1.2_holdout,348,1.0,1,0
11,4,blur_1.8_holdout,348,0.9827586206896552,1,6
11,4,resize_075,348,1.0,1,0
11,4,resize_050,348,1.0,1,0
11,4,crop_05,348,1.0,1,0
11,4,crop_10,348,1.0,1,0
11,4,crop_08_holdout,348,1.0,1,0
11,4,crop_12_holdout,348,0.8448275862068966,1,51
11,4,rotate_3,348,1.0,1,0
11,4,rotate_7,348,1.0,1,0
11,4,rotate_5_holdout,348,1.0,1,0
11,4,rotate_9_holdout,348,0.9310344827586208,1,22
11,5,clean,348,1.0,1,0
11,5,jpeg_80,348,1.0,1,0
11,5,jpeg_50,348,1.0,1,0
11,5,gaussian_5,348,1.0,1,0
11,5,gaussian_12,348,1.0,1,0
11,5,gaussian_9_holdout,348,0.9971264367816092,1,1
11,5,gaussian_15_holdout,348,1.0,1,0
11,5,blur_0.8,348,1.0,1,0
11,5,blur_1.5,348,1.0,1,0
11,5,blur_1.2_holdout,348,1.0,1,0
11,5,blur_1.8_holdout,348,0.9885057471264368,1,4
11,5,resize_075,348,1.0,1,0
11,5,resize_050,348,1.0,1,0
11,5,crop_05,348,1.0,1,0
11,5,crop_10,348,1.0,1,0
11,5,crop_08_holdout,348,1.0,1,0
11,5,crop_12_holdout,348,0.8505747126436781,1,50
11,5,rotate_3,348,1.0,1,0
11,5,rotate_7,348,1.0,1,0
11,5,rotate_5_holdout,348,1.0,1,0
11,5,rotate_9_holdout,348,0.9310344827586208,1,23
11,6,clean,348,1.0,1,0
11,6,jpeg_80,348,1.0,1,0
11,6,jpeg_50,348,1.0,1,0
11,6,gaussian_5,348,1.0,1,0
11,6,gaussian_12,348,1.0,1,0
11,6,gaussian_9_holdout,348,1.0,1,0
11,6,gaussian_15_holdout,348,1.0,1,0
11,6,blur_0.8,348,1.0,1,0
11,6,blur_1.5,348,1.0,1,0
11,6,blur_1.2_holdout,348,1.0,1,0
11,6,blur_1.8_holdout,348,0.9798850574712644,1,7
11,6,resize_075,348,1.0,1,0
11,6,resize_050,348,1.0,1,0
11,6,crop_05,348,1.0,1,0
11,6,crop_10,348,1.0,1,0
11,6,crop_08_holdout,348,1.0,1,0
11,6,crop_12_holdout,348,0.8419540229885057,1,52
11,6,rotate_3,348,1.0,1,0
11,6,rotate_7,348,1.0,1,0
