attack,trials,successes,message_success,symbol_accuracy,minimum_symbol_accuracy,maximum_rs_corrections
crop_12_holdout,50,50,1.0,0.8437068965517242,0.8160919540229885,61
rotate_9_holdout,50,50,1.0,0.917514367816092,0.8419540229885057,54
blur_1.8_holdout,50,50,1.0,0.9890229885057471,0.9597701149425288,13
gaussian_15_holdout,50,50,1.0,0.9902011494252874,0.9511494252873564,17
crop_08_holdout,50,50,1.0,0.9964367816091955,0.9913793103448276,3
gaussian_5,50,50,1.0,0.999367816091954,0.9942528735632185,2
rotate_7,50,50,1.0,0.9994252873563219,0.9971264367816092,1
rotate_5_holdout,50,50,1.0,0.9994252873563219,0.9971264367816092,1
gaussian_12,50,50,1.0,0.9997413793103448,0.9971264367816092,1
gaussian_9_holdout,50,50,1.0,0.9998850574712644,0.9971264367816092,1
crop_10,50,50,1.0,1.0,1.0,0
blur_1.5,50,50,1.0,1.0,1.0,0
blur_0.8,50,50,1.0,1.0,1.0,0
crop_05,50,50,1.0,1.0,1.0,0
clean,50,50,1.0,1.0,1.0,0
blur_1.2_holdout,50,50,1.0,1.0,1.0,0
resize_050,50,50,1.0,1.0,1.0,0
jpeg_80,50,50,1.0,1.0,1.0,0
jpeg_50,50,50,1.0,1.0,1.0,0
rotate_3,50,50,1.0,1.0,1.0,0
resize_075,50,50,1.0,1.0,1.0,0
