component,explained_variance,cumulative_variance
1,0.7290499210357666,0.7290499210357666
2,0.23925478756427765,0.9683046936988831
3,0.01696416363120079,0.9852688312530518
4,0.00832485780119896,0.993593692779541
5,0.0031624925322830677,0.9967561960220337
6,0.0013698737602680922,0.9981260895729065
7,0.0008840047521516681,0.9990100860595703
8,0.00038173538632690907,0.9993917942047119
9,0.0002305464877281338,0.9996223449707031
10,0.00012452545342966914,0.9997468590736389
11,4.937748599331826e-05,0.9997962117195129
12,4.6524088247679174e-05,0.9998427629470825
13,3.259106961195357e-05,0.9998753666877747
14,2.125968603650108e-05,0.9998966455459595
15,1.754362165229395e-05,0.9999141693115234
16,1.50678542922833e-05,0.9999292492866516
17,1.04736682260409e-05,0.9999397397041321
18,8.127131877699867e-06,0.9999478459358215
19,7.145829840737861e-06,0.9999549984931946
20,6.965052307350561e-06,0.9999619722366333
21,5.728303676733049e-06,0.9999676942825317
22,5.223009793553501e-06,0.999972939491272
23,4.089049980393611e-06,0.9999770522117615
24,3.6450276184041286e-06,0.9999806880950928
25,2.8573811050591758e-06,0.999983549118042
26,2.304027020727517e-06,0.9999858736991882
27,1.9391250134503935e-06,0.9999878406524658
28,1.6118984831337002e-06,0.9999894499778748
29,1.4652216577815125e-06,0.9999909400939941
30,1.186278154818865e-06,0.9999921321868896
31,1.0435359172333847e-06,0.9999932050704956
32,8.661929769004928e-07,0.9999940395355225
33,7.8600800179629e-07,0.9999948143959045
34,6.157483767310623e-07,0.9999954104423523
35,5.848652904205665e-07,0.9999960064888
36,5.271418785923743e-07,0.999996542930603
37,4.58818135484762e-07,0.9999970197677612
38,4.1331529132548894e-07,0.9999974370002747
39,3.375093058366474e-07,0.9999977946281433
40,3.1019118296171655e-07,0.9999979734420776
41,2.47560819843784e-07,0.9999982118606567
42,2.3649108982226608e-07,0.9999984502792358
43,1.7143891284376878e-07,0.9999986290931702
44,1.5596613422985683e-07,0.9999988079071045
45,1.367144335517878e-07,0.999998927116394
46,1.2837209339977562e-07,0.9999990463256836
47,1.0208002265699179e-07,0.9999991655349731
48,9.088697083825537e-08,0.9999992847442627
49,8.983725763300754e-08,0.9999994039535522
50,7.661626000299293e-08,0.999999463558197
51,6.771087157630973e-08,0.9999995231628418
52,6.00495866365236e-08,0.9999995827674866
53,5.5056247560969496e-08,0.9999996423721313
54,4.958540955612989e-08,0.9999997019767761
55,4.721061230839041e-08,0.9999997615814209
56,3.972650475247974e-08,0.9999997615814209
57,3.7299034971738365e-08,0.9999998211860657
58,2.9422603020634597e-08,0.9999998211860657
59,2.5636445855070633e-08,0.9999998211860657
60,2.2894782958360338e-08,0.9999998211860657
61,2.0997525496113667e-08,0.9999998211860657
62,1.9434896358916376e-08,0.9999998211860657
63,1.3036347112915792e-08,0.9999998211860657
64,9.240199716487041e-09,1.0
