dataset,seed,detector_samples_per_class,global_logistic_auc,srm_lite_extratrees_auc,selection_cnn_auc,srm_lite_features,cnn_epochs
BOSSBase,11,472,0.5393209200438116,0.4851953267615917,0.537166849215042,52,8
BOSSBase,29,475,0.4896472116008946,0.5174049491378688,0.495094149051295,52,8
BOSSBase,47,500,0.5127183673469388,0.5235265306122449,0.4885551020408163,52,8
BOSSBase,71,467,0.5052745772856502,0.5006172377674697,0.4762082896902588,52,8
BOSSBase,101,463,0.5449519048701053,0.5450276452321442,0.5766492463833978,52,8
Caltech-101,11,423,0.5121984400507891,0.5659577362597498,0.4868039180119717,52,8
Caltech-101,29,433,0.5589508310249308,0.5264023545706371,0.4933344875346259,52,8
Caltech-101,47,419,0.5339441899208663,0.502568374288491,0.5811004673978435,52,8
Caltech-101,71,446,0.507635146170178,0.5436264902825412,0.5408296586640535,52,8
Caltech-101,101,436,0.539835106155752,0.5263787432184203,0.5485069844931437,52,8
