direction,family,explained_variance,stable_images,stable_fraction,minimum_bucket,occupancy_cv
pc1,pca,0.9406991004943848,2823,0.352875,92,0.3693003512229677
pc2,pca,0.051938384771347046,2823,0.352875,115,0.3168355054845012
pc3,pca,0.0050078025087714195,1609,0.201125,9,0.9526987968473405
pc4,pca,0.001847074250690639,2265,0.283125,47,0.43849550896229844
pc5,pca,0.00022339152928907424,1992,0.249,60,0.6783048118534795
pc6,pca,0.00011607180931605399,1591,0.198875,23,0.7587876363833954
pc7,pca,8.605683979112655e-05,1342,0.16775,12,1.122908047765483
pc8,pca,3.612398722907528e-05,1668,0.2085,36,0.7317685978778238
pc9,pca,1.3063698133919388e-05,1772,0.2215,49,0.5561803736960045
pc10,pca,1.0572838618827518e-05,1587,0.198375,24,0.8006734225452494
pc11,pca,6.659186055912869e-06,1568,0.196,25,0.8613085121988361
pc12,pca,4.414301656652242e-06,1598,0.19975,41,0.6359708742664039
pc13,pca,3.6645108139055083e-06,1461,0.182625,26,0.7295816922971218
pc14,pca,1.5392132581837359e-06,1450,0.18125,21,0.658587108730477
pc15,pca,1.1393382237656624e-06,1684,0.2105,40,0.5931064545637004
pc16,pca,8.97672578048514e-07,1511,0.188875,37,0.6597768135760037
random_01,fixed_random,,3289,0.411125,109,0.21607546883215492
random_02,fixed_random,,2794,0.34925,81,0.4318089484474103
random_03,fixed_random,,2813,0.351625,80,0.4317086946200272
random_04,fixed_random,,3297,0.412125,64,0.4132785984115171
random_05,fixed_random,,2624,0.328,65,0.543542926409216
random_06,fixed_random,,3497,0.437125,79,0.3254613646805942
random_07,fixed_random,,3469,0.433625,115,0.3298958146104333
random_08,fixed_random,,3867,0.483375,104,0.1945744584698055
random_09,fixed_random,,3659,0.457375,128,0.20345010613766262
random_10,fixed_random,,3464,0.433,137,0.19629805721164492
random_11,fixed_random,,3709,0.463625,101,0.18567159269764896
random_12,fixed_random,,2501,0.312625,95,0.25675305596440573
random_13,fixed_random,,3642,0.45525,112,0.28040325967817403
random_14,fixed_random,,3509,0.438625,102,0.2387360772805382
random_15,fixed_random,,3644,0.4555,161,0.14428320792460814
random_16,fixed_random,,3651,0.456375,113,0.2097545730137128
random_17,fixed_random,,3747,0.468375,94,0.1985314038732878
random_18,fixed_random,,3406,0.42575,84,0.2342556303217885
random_19,fixed_random,,3627,0.453375,106,0.18812856064808783
random_20,fixed_random,,3630,0.45375,128,0.257266059156838
random_21,fixed_random,,3881,0.485125,105,0.20688329493201513
random_22,fixed_random,,3872,0.484,131,0.22121432968923893
random_23,fixed_random,,2508,0.3135,84,0.5365564072839755
random_24,fixed_random,,3785,0.473125,111,0.20399842951606498
random_25,fixed_random,,2977,0.372125,101,0.30350957557012515
random_26,fixed_random,,2755,0.344375,110,0.3102475941119832
random_27,fixed_random,,3757,0.469625,151,0.2501621059310589
random_28,fixed_random,,3948,0.4935,105,0.21856571546594755
random_29,fixed_random,,3955,0.494375,142,0.2302933195943403
random_30,fixed_random,,3837,0.479625,117,0.19807809681043556
random_31,fixed_random,,3147,0.393375,83,0.4579552831533345
random_32,fixed_random,,3202,0.40025,150,0.2847281423799856
