variant,seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
pc1_no_qualification,11,0,clean,348,1.0,1,0
pc1_no_qualification,11,0,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,0,jpeg_50,348,0.9971264367816092,1,1
pc1_no_qualification,11,0,gaussian_5,348,0.9166666666666666,1,28
pc1_no_qualification,11,0,gaussian_12,348,0.9166666666666666,1,28
pc1_no_qualification,11,0,gaussian_9_holdout,348,0.9252873563218391,1,25
pc1_no_qualification,11,0,gaussian_15_holdout,348,0.9166666666666666,1,28
pc1_no_qualification,11,0,blur_0.8,348,0.9482758620689655,1,18
pc1_no_qualification,11,0,blur_1.5,348,0.8706896551724138,1,42
pc1_no_qualification,11,0,blur_1.2_holdout,348,0.9022988505747126,1,33
pc1_no_qualification,11,0,blur_1.8_holdout,348,0.8477011494252874,1,49
pc1_no_qualification,11,0,resize_075,348,0.9597701149425287,1,14
pc1_no_qualification,11,0,resize_050,348,0.9339080459770115,1,23
pc1_no_qualification,11,0,crop_05,348,0.6149425287356322,0,-1
pc1_no_qualification,11,0,crop_10,348,0.41954022988505746,0,-1
pc1_no_qualification,11,0,crop_08_holdout,348,0.5114942528735632,0,-1
pc1_no_qualification,11,0,crop_12_holdout,348,0.382183908045977,0,-1
pc1_no_qualification,11,0,rotate_3,348,0.882183908045977,1,38
pc1_no_qualification,11,0,rotate_7,348,0.7097701149425287,0,-1
pc1_no_qualification,11,0,rotate_5_holdout,348,0.7844827586206896,1,64
pc1_no_qualification,11,0,rotate_9_holdout,348,0.6580459770114943,0,-1
pc1_no_qualification,11,1,clean,348,1.0,1,0
pc1_no_qualification,11,1,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,1,jpeg_50,348,0.9971264367816092,1,1
pc1_no_qualification,11,1,gaussian_5,348,0.9310344827586207,1,24
pc1_no_qualification,11,1,gaussian_12,348,0.9224137931034483,1,26
pc1_no_qualification,11,1,gaussian_9_holdout,348,0.9166666666666666,1,28
pc1_no_qualification,11,1,gaussian_15_holdout,348,0.9252873563218391,1,25
pc1_no_qualification,11,1,blur_0.8,348,0.9568965517241379,1,15
pc1_no_qualification,11,1,blur_1.5,348,0.8764367816091954,1,39
pc1_no_qualification,11,1,blur_1.2_holdout,348,0.9109195402298851,1,30
pc1_no_qualification,11,1,blur_1.8_holdout,348,0.8505747126436781,1,46
pc1_no_qualification,11,1,resize_075,348,0.9597701149425287,1,14
pc1_no_qualification,11,1,resize_050,348,0.9425287356321839,1,20
