repeat,seed,cnn_auc
0,47000,0.5576380211948725
1,47001,0.5328798185941043
2,47002,0.565551390624277
3,47003,0.4903512425378314
4,47004,0.5212642880281364
5,47005,0.550696469063816
6,47006,0.5423666065065482
7,47007,0.51760840390578
8,47008,0.4885927159979638
9,47009,0.5339904669350733
10,47010,0.5365357027164607
11,47011,0.5704567541302235
12,47012,0.541163404137165
13,47013,0.4454625387569994
14,47014,0.5647184043685501
15,47015,0.5518996714331991
16,47016,0.5052987181267065
17,47017,0.5581007913369429
18,47018,0.5012263408764867
19,47019,0.579619602943218
